Titulo,Link,Link_img,Marca,Precio_Online,Precio_Normal,Cant_disponible,Atributos,Detalles
"Laptop HP 15-ef1009la 15.6"" AMD Ryzen 3 4300U QC 256GB SSD 4GB RAM",https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-15-ef1009la-15-6-amd-ryzen-3-4300u-qc-256gb-ssd-4gb-ram,https://hiraoka.com.pe/media/catalog/product/cache/a357cb11a228eb6f7f15c0ee1ff203af/1/2/122782.jpg,HP,"2,149.00","2,149.00",Disponible más de 10 unidades," Marca, Modelo, Tamaño de Pantalla, Resolución de Pantalla, Procesador, Núcleos del procesador, Memoria RAM, Tipo de memoria RAM, Velocidad de memoria RAM, Bahía de almacenamiento expandible, Almacenamiento, Tipo de almacenamiento, Sistema Operativo, Tipo de gráficos, Modelo de tarjeta gráfica, Entradas HDMI, Entradas USB tipo C, Wifi integrado, Pantalla touch, Webcam, Bloqueo de seguridad, Micrófono integrado, Lector de huella digital, Teclado numérico, Teclado retroiluminado, Tipo de Batería, Duración de la batería, Tipo adaptador alimentación, Alto, Ancho, Profundidad, Peso, Peso con empaque, Incluye lápiz táctil, Garantía del proveedor","HP,15-ef1009la,15.6"",1366x768 px,AMD Ryzen 3 4300U QC,Quad Core,4 GB,DDR4,2666MHz,No,256 GB,SSD,Windows 10 Home,Integrada,AMD Radeon,1,1,Sí,No,HD,No,Sí,No,Sí,No,Iones de litio de 3 celdas y 41 Wh,Hasta 10 horas,Adaptador de alimentación de CA inteligente de 45 W,1,79 cm,35,85 cm,24,2 cm,1,69 kg,2,53 kg,No,1 año"
"Laptop Gaming Asus ROG Strix G15 G513RC-HN097W 15.6"" AMD Ryzen 7 6800H 512GB SSD 16GB RAM",https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gaming-asus-rog-strix-g15-g513rc-hn097w-15-6-amd-ryzen-7-6800h-512gb-ssd-16gb-ram,https://hiraoka.com.pe/media/catalog/product/cache/a357cb11a228eb6f7f15c0ee1ff203af/g/5/g513rc-hn097w_1.jpg,ASUS,"6,699.00","6,999.00",Disponible menos de 10 unidades," Marca, Modelo, Tamaño de Pantalla, Definición de Pantalla, Resolución de Pantalla, Procesador, Núcleos del procesador, Memoria RAM, Tipo de memoria RAM, Bahía de almacenamiento expandible, Memoria RAM máxima soportada, Almacenamiento, Tipo de almacenamiento, Sistema Operativo, Tipo de gráficos, Memoria tarjeta gráfica, Modelo de tarjeta gráfica, Tasa de refresco, Angulo de visión, Entradas HDMI, Entradas USB 3.2, Entradas USB tipo C, Puertos RJ45, Display Port, Entrada de audio, Wifi integrado, Bluetooth, Pantalla touch, Bloqueo de seguridad, Sistema de sonido, Micrófono integrado, Cantidad de parlantes, Lector de huella digital, Teclado numérico, Teclado retroiluminado, Tipo de Batería, Tipo de carga, Alto, Ancho, Profundidad, Peso, Incluye lápiz táctil, Incluye, Garantía del proveedor","ASUS,G513RC-HN097W,15.6"",FHD,1920x1080 px,AMD Ryzen 7 6800H,8 núcleos,16 GB,DDR4,No,Hasta 32 GB,512 GB,SSD,Windows 11 Home,Dedicada,4 GB,NVIDIA GeForce RTX 3050,144Hz,170,1,4,1,1,1,Jack 3.5  mm,Sí,5.2,No,Sí,Dolby Atmos,Sí,2,Sí,No,Sí,4-cell Li-ion,56WHrs, 4S1P, 4-cell Li-ion,2590 mm,3640 mm,206 mm,2.10 kg,No,Mochila, Mouse Gaming ROG Impact, Cámara externa FHD 1080P@60FPS,2 años"
"Laptop Gaming Asus ROG Strix G15 G513IC-HN046W 15.6"" AMD Ryzen 7 4800H 512GB 16GB RAM",https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gaming-asus-rog-strix-g15-g513ic-hn046w-15-6-amd-ryzen-7-4800h-512gb-16gb-ram,https://hiraoka.com.pe/media/catalog/product/cache/a357cb11a228eb6f7f15c0ee1ff203af/g/5/g513ic-hn046w_1.jpg,ASUS,"5,999.00","6,299.00",Disponible menos de 10 unidades," Marca, Modelo, Tamaño de Pantalla, Definición de Pantalla, Resolución de Pantalla, Procesador, Núcleos del procesador, Memoria RAM, Tipo de memoria RAM, Bahía de almacenamiento expandible, Memoria RAM máxima soportada, Almacenamiento, Tipo de almacenamiento, Sistema Operativo, Tipo de gráficos, Memoria tarjeta gráfica, Modelo de tarjeta gráfica, Tasa de refresco, Angulo de visión, Entradas HDMI, Entradas USB 3.2, Entradas USB tipo C, Thunderbolt, Entrada de audio, Wifi integrado, Bluetooth, Pantalla touch, Bloqueo de seguridad, Sistema de sonido, Micrófono integrado, Cantidad de parlantes, Lector de huella digital, Teclado numérico, Teclado retroiluminado, Tipo de Batería, Tipo de carga, Alto, Ancho, Profundidad, Peso, Incluye lápiz táctil, Incluye, Garantía del proveedor","ASUS,G513IC-HN046W,15.6"",FHD,1920x1080 px,AMD Ryzen 7 4800H,8 núcleos,16 GB,DDR4,No,Hasta 32 GB,512 GB,SSD,Windows 11 Home,Dedicada,4 GB,NVIDIA GeForce RTX 3050,144Hz,170,1,4,1,1,Jack 3.5 mm,Sí,5.1,No,Sí,Dolby Atmos,Sí,2,Sí,No,Sí,4-cell Li-ion,56WHrs, 4S1P, 4-cell Li-ion,2590 mm,3540 mm,206 mm,2.10 kg,No,Mochila, Mouse Gaming ROG Impact, Cámara externa FHD 1080P@60FPS,2 años"
"Laptop Gaming Asus ROG Zephyrus M16 GU603ZE-LS020W 16"" Intel Core i7-12700H 512GB 16GB RAM",https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gaming-asus-rog-zephyrus-m16-gu603ze-ls020w-16-intel-core-i7-12700h-512gb-16gb-ram,https://hiraoka.com.pe/media/catalog/product/cache/a357cb11a228eb6f7f15c0ee1ff203af/g/u/gu603ze-ls020w_1.jpg,ASUS,"8,199.00","8,999.00",Disponible más de 10 unidades," Marca, Modelo, Tamaño de Pantalla, Tipo de Pantalla, Definición de Pantalla, Resolución de Pantalla, Procesador, Velocidad del procesador, Memoria RAM, Tipo de memoria RAM, Bahía de almacenamiento expandible, Memoria RAM máxima soportada, Tipo de ranuras para memoria, Almacenamiento, Tipo de almacenamiento, Sistema Operativo, Tipo de gráficos, Memoria tarjeta gráfica, Modelo de tarjeta gráfica, Tasa de refresco, Angulo de visión, Entradas HDMI, Entradas USB 3.2, Entradas USB tipo C, Puertos RJ45, Display Port, Thunderbolt, Entrada de audio, Wifi integrado, Bluetooth, Pantalla touch, Webcam, Bloqueo de seguridad, Sistema de sonido, Micrófono integrado, Cantidad de parlantes, Lector de huella digital, Teclado numérico, Teclado retroiluminado, Tipo de Batería, Tipo de carga, Alto, Ancho, Profundidad, Peso, Incluye lápiz táctil, Incluye, Garantía del proveedor","ASUS,GU603ZE-LS020W,16"",IPS,WUXGA,1920x1200 px,Intel Core i7-12700H 12th Gen,14 cores: 6 P-cores y 8 E-cores; 2.3 GHz,16 GB,DDR5,No,Hasta 40 GB,Micro SD,512 GB,SSD,Windows 11 Home,Dedicada,4 GB,NVIDIA GeForce RTX 3050 Ti,165Hz,85/85/85/85,1,3,1,1,1,1,Jack 3.5  mm,Sí,5.2,No,720P HD IR,Sí,Dolby Atmos,Sí,4,Sí,No,Sí,4-cell Li-ion,90WHrs, 4S1P, 4-cell Li-ion,2430 mm,3550 mm,199 mm,2.00 kg,No,Mochila, Mouse Gaming ROG Impact,2 años"
"Laptop Asus TUF Gaming F15 FX506LH-HN100T 15.6"" Intel Core i7-10870H 512GB SSD 16GB RAM",https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-asus-tuf-gaming-f15-fx506lh-hn100t-15-6-intel-core-i7-10870h-512gb-ssd-16gb-ram,https://hiraoka.com.pe/media/catalog/product/cache/a357cb11a228eb6f7f15c0ee1ff203af/f/x/fx506lh-hn100t_1.jpg,ASUS,"4,999.00","5,599.00",Disponible más de 10 unidades," Marca, Modelo, Tamaño de Pantalla, Definición de Pantalla, Resolución de Pantalla, Procesador, Núcleos del procesador, Velocidad del procesador, Memoria RAM, Tipo de memoria RAM, Bahía de almacenamiento expandible, Memoria RAM máxima soportada, Almacenamiento, Tipo de almacenamiento, Sistema Operativo, Tipo de gráficos, Memoria tarjeta gráfica, Modelo de tarjeta gráfica, Tasa de refresco, Angulo de visión, Entradas HDMI, Entradas USB 2.0, Entradas USB 3.2, Entradas USB tipo C, Display Port, Entrada de audio, Wifi integrado, Bluetooth, Pantalla touch, Webcam, Bloqueo de seguridad, Micrófono integrado, Cantidad de parlantes, Lector de huella digital, Teclado numérico, Teclado retroiluminado, Tipo de Batería, Tipo de carga, Alto, Ancho, Profundidad, Peso, Incluye lápiz táctil, Garantía del proveedor","ASUS,FX506LH-HN100T,15.6"",FHD,1920x1080 px,Intel Core i7-10870H,8 núcleos,2.2 GHz,16 GB,DDR4,No,Hasta 32 GB,512 GB,SSD,Windows 10 Home,Dedicada,4 GB,NVIDIA GeForce GTX 1650,144Hz,170/170,1,1,2,1,1,Jack 3.5  mm,Sí,5.2,No,720P HD px,Sí,Sí,2,Sí,Sí,Sí,3-cell Li-ion,48WHrs, 3S1P, 3-cell Li-ion,2560 mm,3590 mm,247 mm,2.30 kg,No,1 año"
"Laptop Asus TUF Gaming A15 FA506IC-HN042W 15.6"" AMD Ryzen 5 4600H 512GB SSD 8GB RAM",https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-asus-tuf-gaming-a15-fa506ic-hn042w-15-6-amd-ryzen-5-4600h-512gb-ssd-8gb-ram,https://hiraoka.com.pe/media/catalog/product/cache/a357cb11a228eb6f7f15c0ee1ff203af/f/a/fa506ic-hn042w_1.jpg,ASUS,"4,199.00","4,899.00",Disponible más de 10 unidades," Marca, Modelo, Tamaño de Pantalla, Tipo de Pantalla, Definición de Pantalla, Resolución de Pantalla, Procesador, Núcleos del procesador, Memoria RAM, Tipo de memoria RAM, Bahía de almacenamiento expandible, Memoria RAM máxima soportada, Almacenamiento, Tipo de almacenamiento, Sistema Operativo, Tipo de gráficos, Memoria tarjeta gráfica, Modelo de tarjeta gráfica, Tasa de refresco, Angulo de visión, Entradas HDMI, Entradas USB 3.2, Entradas USB tipo C, Thunderbolt, Entrada de audio, Wifi integrado, Bluetooth, Pantalla touch, Webcam, Bloqueo de seguridad, Micrófono integrado, Cantidad de parlantes, Lector de huella digital, Teclado numérico, Teclado retroiluminado, Tipo de Batería, Tipo de carga, Tipo adaptador alimentación, Consumo, Alto, Ancho, Profundidad, Peso, Incluye lápiz táctil, Garantía del proveedor","ASUS,FA506IC-HN042W,15.6"",IPS,FHD,1920x1080 px,AMD Ryzen 5 4600H,6 Core,8 GB,DDR4,No,Hasta 32 GB,512 GB,SSD,Windows 11 Home,Dedicada,4 GB,NVIDIA GeForce RTX 3050,144Hz,85/85/85/85,1,3,1,1,Jack 3.5  mm,Sí,5.1,No,HD 720 px,Sí,Sí,2,No,Sí,Sí,3-cell Li-ion,48WHrs, 3S1P, 3-cell Li-ion,AC Adapter,180W,2560 mm,3590 mm,228 mm,2.3 kg,No,1 año"
"Laptop Lenovo IdeaPad 5i 14"" Intel Core i7-1165G7 512GB SSD 8GB RAM",https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lenovo-ideapad-5i-14-intel-core-i7-1165g7-512gb-ssd-8gb-ram,https://hiraoka.com.pe/media/catalog/product/cache/a357cb11a228eb6f7f15c0ee1ff203af/1/2/127093-pr.jpg,LENOVO,"3,899.00","3,899.00",Disponible más de 10 unidades," Marca, Modelo, Tamaño de Pantalla, Tipo de Pantalla, Definición de Pantalla, Resolución de Pantalla, Procesador, Núcleos del procesador, Velocidad del procesador, Memoria RAM, Tipo de memoria RAM, Velocidad de memoria RAM, Bahía de almacenamiento expandible, Memoria RAM máxima soportada, Tipo de ranuras para memoria, Almacenamiento, Tipo de almacenamiento, Sistema Operativo, Tipo de gráficos, Modelo de tarjeta gráfica, Entradas HDMI, Entradas USB 3.2, Entradas USB tipo C, Entrada de audio, Wifi integrado, Bluetooth, Pantalla touch, Webcam, Bloqueo de seguridad, Sistema de sonido, Micrófono integrado, Cantidad de parlantes, Lector de huella digital, Teclado numérico, Teclado retroiluminado, Tipo de Batería, Duración de la batería, Tipo adaptador alimentación, Consumo, Alto, Ancho, Profundidad, Peso, Incluye lápiz táctil, Garantía del proveedor","LENOVO,82FE00RJLM,14"",IPS Antirreflejo,FHD,1920x1080 px,Intel Core i7-1165G7,Quad Core,2.8 GHz,8 GB,DDR4,3200 MHz,No,Hasta 8 GB,SD, SDHC, SDXC, MMC, 4 en 1,512 GB,SSD,Windows 11 Home,Integrada,Intel Iris Xe Graphics,1,2,1,Jack 3.5 mm,Sí,5.0,No, 720p (HD),No,Dolby audio,Sí,2,Sí,No,No,Polímero de litio de 44,5 Wh,Hasta 9 horas,(2-pines, Wall-mount),65 W,1.79 -1.99 cm,32.15 cm,21.15 cm,1.39 kg,No,1 año"
"Laptop HP 15-ef1009la 15.6"" AMD Ryzen 3 4300U QC 256GB SSD 4GB RAM + Cámara Web Miray CWM-12",https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-15-ef1009la-15-6-amd-ryzen-3-4300u-qc-256gb-ssd-4gb-ram-camara-web-miray-cwm-12,https://hiraoka.com.pe/media/catalog/product/cache/a357cb11a228eb6f7f15c0ee1ff203af/c/1/c109163.jpg,HP,"1,499.00","2,149.00",Disponible más de 10 unidades, Marca,HP
"Laptop HP 15-dy2056la 15.6"" Intel Core i5-1135G7 512GB SSD 8GB RAM + Cámara Web Miray CWM-12",https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-15-dy2056la-15-6-intel-core-i5-1135g7-512gb-ssd-8gb-ram-camara-web-miray-cwm-12,https://hiraoka.com.pe/media/catalog/product/cache/a357cb11a228eb6f7f15c0ee1ff203af/c/1/c109167.jpg,HP,"2,499.00","2,999.00",Disponible más de 10 unidades, Marca,HP
"Laptop Acer A515-54-56YQ 15.6"" Intel Core i5-10210U 256GB SSD 8GB RAM",https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-acer-a515-54-56yq-15-6-intel-core-i5-10210u-256gb-ssd-8gb-ram,https://hiraoka.com.pe/media/catalog/product/cache/a357cb11a228eb6f7f15c0ee1ff203af/a/5/a515-54-56yq_mesa_de_trabajo_1.jpg,ACER,"2,399.00","2,599.00",Disponible más de 10 unidades," Marca, Modelo, Tamaño de Pantalla, Tipo de Pantalla, Definición de Pantalla, Resolución de Pantalla, Procesador, Núcleos del procesador, Velocidad del procesador, Memoria RAM, Tipo de memoria RAM, Bahía de almacenamiento expandible, Almacenamiento, Tipo de almacenamiento, Sistema Operativo, Tipo de gráficos, Modelo de tarjeta gráfica, Tasa de refresco, Entradas HDMI, Entradas USB 2.0, Entradas USB 3.1, Entradas USB tipo C, Puertos RJ45, Entrada de audio, Wifi integrado, Bluetooth, Pantalla touch, Webcam, Bloqueo de seguridad, Sistema de sonido, Micrófono integrado, Cantidad de parlantes, Lector de huella digital, Teclado numérico, Teclado retroiluminado, Tipo de Batería, Duración de la batería, Consumo, Alto, Ancho, Profundidad, Peso, Incluye lápiz táctil, Incluye, Garantía del proveedor","ACER,A515-54-56YQ,15.6"",LED IPS,FHD,1920x1080 px,i5-10210U 10ma,Quad Core,1.60 Ghz,8 GB,DDR4,Sí,256 GB,SSD,Windows 10 Home,Dedicada,Intel UHD Graphics,60Hz,1,1,2,1,1,Jack 3.5 mm,Sí,5.0,No,HD 1MP,Sí,TrueHarmony,Sí,2,No,Sí,No,Ion Litio (Li-Ion) 3 celdas,Hasta 9.5 horas,48W,17.95 mm,363.4 mm,238.5 mm,1.9 kg,No,Adaptador de corriente, Cable alimentación,1 año"
