Titulo,Link,Precio,Estado,Puntuación,Ubicación,Comentarios
Balanza Gramera Electrónica Digital 500gramos 0.01gr ,https://articulo.mercadolibre.com.pe/MPE-440143188-balanza-gramera-electronica-digital-500gramos-001gr-_JM,55.0,Nuevo,4.8,"Lince, Lima Metropolitana","{'0': '¿CUAL ES LA PESADA MINIMA QUE PUEDE HACER?', '1': '¿PUEDO PESAR 20 MILIGRAMOS CON ESTA BALANZA?', '2': '¿ FUNCIONA SÓLO A PILAS O TAMBIEN TIENE CARGADOR PARA CONECTAR?', '3': 'Ok', '4': 'Num?', '5': 'Deseo adquirirlo para provincia, cuanto es el costo por una unidad?', '6': 'Buenos días, deseo adquirirlo. Tiene stock?', '7': 'Hoy me lo pueden entregar ?', '8': 'Buenas tardes, ¿Hace envios a provincia? (Tayabamba-Pataz-La Libertad)', '9': 'donde se encuentran ubicados en lima'}"
Manguera Original De Aspiradora Thomas ,https://articulo.mercadolibre.com.pe/MPE-440303634-manguera-original-de-aspiradora-thomas-_JM,60.0,Nuevo,,"Callao, Lima Metropolitana","{'0': 'Hacen envío a Moyobamba? Es nueva ?', '1': 'Trabajo cerca al aeropuerto.. Entonces le doy a comprar...', '2': 'Para pasar por la tarde de hoy', '3': 'Yo soy de la victoria.. Pero yo voy a tu local para que me lo entreguen todo instalado y también tengo otra parte que se rompió', '4': 'Si lo tengo todo junto con la mánguera rota.. Entonces lo puedes adaptar??', '5': 'Tiene mánguera de aspiradora tomas VAC 1600', '6': 'He dado en comprar me mando un código para pagar por app … pero no hay otra forma de pagar personalmente ? O tiene algún fan page para buscarlo en las redes ?', '7': 'Hola cómo podemos coordinar para que sea contra entrega ? Necesito para el modelo th-2210', '8': 'Hola, contarás con la manguera y adaptadores para la aspiradora Thomas TH-1870? Precio?', '9': 'Para el modelo 1420 tendra'}"
Tostador De Acero Bosch Tat7s45 4 Ranuras 1800w Descongela,https://articulo.mercadolibre.com.pe/MPE-447784045-tostador-de-acero-bosch-tat7s45-4-ranuras-1800w-descongela-_JM,379.0,Nuevo,,¡Es uno de los mejores del sitio!,"{'0': 'Buen dia, no me da la opción de que lo puedan enviar a mi domicilio.', '1': 'Perfecto le daré en comprar', '2': 'Lo pueden enviar por Tarapoto Courier o por Shalon. Emiten factura???', '3': 'Buenas tardes, realizas envios a Provincias para la ciudad de Puerto Maldonado???', '4': 'buen dia, ayer efectué una compra y me la cancelaste. Hoy entro y esta el mismo producto 80 soles mas.', '5': 'Hola, tienes disponible para envio a Tarapoto?', '6': 'Buen dia. Hace envíos a provincia, Pasco? Tiene stock? Pregunto eso porque en la publicación dice "" disponible 5 días después de tu compra"".', '7': 'Hace envios a la molina? Slds', '8': 'Saludos made iN? De donde es la procedencia gracias', '9': 'Hola haces envíos a la libertad??? En America express o Emtrafesa?'}"
Termo Hervidor Electrico Dispensador Bomba,https://articulo.mercadolibre.com.pe/MPE-436638591-termo-hervidor-electrico-dispensador-bomba-_JM,169.0,Nuevo,,"Santa Anita, Lima Metropolitana","{'0': 'Disculpe, la pregunta fue ¿ cuanto tiempo conserva caliente los líquidos? Teniendo en cuenta que no solo es hervidor sino también termo.', '1': 'Buenas noches; cuanto tiempo conserva calientes los líquidos?', '2': 'Quiero para el distrito de lince a qué hora me llegue ?', '3': 'Buen día tiene stock de este producto? Cuanto sería el costo de envio a Santa Anita como referencia a dos cuadras del ovalo y en cuanto tiempo llegaría en caso de comprar hoy?', '4': 'Hola el sistema no me permite comprar 4 unidades en una sola. Le hare 2 pedidos de 2 unidades cada uno', '5': 'Vivo en comas', '6': 'Cuando llegaria si lo pago hoy', '7': 'Hola emiten facturas?', '8': 'En cuantos minutos hierve los 5.8 litros de agua', '9': 'Envian a san borja? Y entregan Factura?'}"
Freidora De Aire Oster De 10 Lts Ckstafov3  Negro,https://articulo.mercadolibre.com.pe/MPE-603536220-freidora-de-aire-oster-de-10-lts-ckstafov3-negro-_JM,699.0,Nuevo,,"Callao, Lima Metropolitana","{'0': 'Cuantos Watts consume en modo Freidora de aire?', '1': 'Se podrá enviar por la empresa shalom a la ciudad de Tacna.', '2': 'Buenas noches, hacen envíos a Huancayo?', '3': 'Hola, emiten factura?', '4': 'Es para envío provincia puno', '5': 'Quiero recogerlo en agencia donde lo envíe', '6': 'Puede colocar la opción para entrega quedar con el vendedor.', '7': 'Tiene stock es para provincia. Puno', '8': 'Se puede hacer el envío antes de la fecha indicada para envío gratis', '9': 'Buen día tiene stock y envío a Cajamarca'}"
Aspiradora Irobot Roomba S9+ ,https://articulo.mercadolibre.com.pe/MPE-447799184-aspiradora-irobot-roomba-s9-_JM,7999.0,Nuevo,,¡Es uno de los mejores del sitio!,"{'0': 'Donde compró bolsa para la aspiradora', '1': 'Como hago para comprar mopas', '2': 'Con qué accesorios viene', '3': 'Viene con mopas', '4': 'Y hasta qué hora tendría para recogerlo?', '5': 'Si lo compro por acá ahora puedo ir a recogerlo hoy?', '6': 'Hola es 220v?'}"
Licuadora Personal Oster Xpert Blstxpn7002 + 2 Vasos Blend-n,https://articulo.mercadolibre.com.pe/MPE-437976166-licuadora-personal-oster-xpert-blstxpn7002-2-vasos-blend-n-_JM,579.0,Nuevo,,"Callao, Lima Metropolitana","{'0': 'Hola tu mejor precio ?', '1': 'Hola buen dia, ya hice el pagode la minilicuadora como me contacto con ustedes', '2': 'Sigue disponible? Hacen envíos a provincia?', '3': 'Ok ya realice el pago quedo atento a su respuesta para coordinar la entrega', '4': 'Hola tienes disponibilidad inmediata ? Me encuentro en Chorrillos', '5': 'Hola, tiene stock? Es para Tarapoto.', '6': 'Los vasos titán son compatibles con oster expert ?', '7': 'Puedo licual cualquier cosa? Hielo, fruta, verdura etc..', '8': 'Hola. Por k zona sta tu local para recoger??', '9': 'Es para Arequipa cuanto demora en llegar el pedido? El pago como es'}"
Waflera Imaco 4 Porciones Wm4150 - Blanco,https://articulo.mercadolibre.com.pe/MPE-440293084-waflera-imaco-4-porciones-wm4150-blanco-_JM,151.05,Nuevo,5.0,"Ate, Lima Metropolitana","{'0': 'Buen día, tiene disponible? si pido hoy para cuando llega a mi domicilio, santa Anita, y cuál es el costo de envío ?', '1': 'Hola, que tiempo de garantía tiene la waflera?', '2': 'Hola lo tiene disponible .lo quiero para .Céspedes en Jr Andahuailas en la victoria 28 de julio .podría ?', '3': 'Ok. Dan factura? Y si lo compro ahora en cuánto tiempo lo enviarían a mi domicilio? Saludos.', '4': 'Buenas tardes. Si le doy a comprar ahora el envío me sale gratis? Vivo en San Isidro. Saludos.', '5': 'En q colores tienes', '6': 'Hola cómo estás ? En cuánto tiempo hacen entrega a lima', '7': 'Estimado tiene disponible 2. Sipago hoy lo puedo recoger mañana?', '8': 'Buenas. Gracias por responder. Si compro hoy día el producto lo podrían enviar mañana?. Quedo atenta.', '9': 'Buenas tardes. Agradecería me indique si cuenta con stock del producto y si realizan entregas vía Delivery a San Miguel. Quedo atenta.'}"
Jarra Cafetera Tipo Oster 4 Tazas ,https://articulo.mercadolibre.com.pe/MPE-441114770-jarra-cafetera-tipo-oster-4-tazas-_JM,40.0,Nuevo,,"Surquillo, Lima Metropolitana","{'0': 'Buen dia, está jarra le hace al modelo Oster BVSTDCDR5B, estaré atento a sus comentarios...', '1': 'Le da para la marca Miray?', '2': 'Hola quiero 1 para Los Órganos, cuánto sería con el envío?, Slds', '3': 'Cuentan con el producto', '4': 'Buenas tardes, aun tienen stock? y cuanto sale envió hasta san miguel?', '5': 'muy buenas días me lo puede enviar a Juliaca?', '6': 'muy buenas días estoy muy interesada, hacen envío a Juliaca- Puno?', '7': 'Hola. Tienes el repuesto de la jarra de la caferanoster de BVSTDCDRSR-053 50/60 HZ 220V', '8': 'Hola tendrás la jarra para la cafetera de 12 tazas ? Gracias', '9': 'Buenos dias, tendrán jarra de respuesto para cafetera oster BVSTRF100?'}"
Aspiradora Irobot Roomba I3+,https://articulo.mercadolibre.com.pe/MPE-601883842-aspiradora-irobot-roomba-i3-_JM,3999.0,Nuevo,,¡Es uno de los mejores del sitio!,"{'0': 'Buenas tardes estimados. Está aspiradora viene con la estación de vaciado?', '1': 'Se le puede extender la garantía? Tienen tienda física?', '2': 'Yo tengo i3, pero solo necesito el contenedor donde extrae su caquita, lo vende aparte?', '3': 'Amigo cuanto cuesta la casita del roomba para que bote la basura?', '4': '¿Pueden hacer entregas el mismo día? Estoy en Miraflores, Lima.'}"
